DispoCode,Code,Succession,Elephant,VillDist,RoadDist,ParkDist,Park,Succ2,Temp,Prec,PrecDryQt,Elev,SoilPCA1,SoilPCA2
CAFI_P040,MEB_364,Secondaire,Pas d'indice,2.352297993,1.828188081,6.714663418,0,Exp,26.1,276.8,3.5,37,-10.10242427,-2.097610986
CAFI_P041,MED_412,Secondaire,Ancienne piste/pas d'activite,2.62715145,11.46800292,14.29389402,0,Exp,25,284.1,5.6,170,-10.10242427,-2.097610986
CAFI_P042,MEL_417,Secondaire,Pas d'indice,13.11968304,37.4728725,8.195395618,0,Sec,24.3,252.5,5.8,382,0.221918794,1.137765611
CAFI_P043,MEN_043,Secondaire,Pas d'indice,1.648556033,9.369570971,85.03154114,0,Exp,23.1,181.7,16,668,0.247116504,-1.05396485
CAFI_P044,MIG_175,Primaire,Active,0.8825477,18.10706034,20.21590939,0,Prm,26.4,201.7,2.1,108,-0.583789339,0.869472822
CAFI_P045,MIG_176,Primaire,Active,12.18924024,30.32524764,7.340435342,0,Prm,25.1,207.5,2.4,314,0.108533665,1.365842797
CAFI_P046,MIN_387,Secondaire,Active,3.131263742,2.045724097,15.02211366,0,Exp,24.3,159.1,6.3,483,-0.092556036,-1.35964361
CAFI_P047,MIT_287,Secondaire,Active,4.501104729,3.725364071,0,1,Sec,25.8,165.2,2.6,287,0.221918794,1.137765611
CAFI_P049,MOU_124,Exploitee,Ancienne piste/pas d'activite,11.60965034,11.28412414,60.04581869,0,Exp,26.2,192.9,1.3,160,-0.583789339,0.869472822
CAFI_P050,MOU_126,Exploitee,Pas d'indice,13.03402481,12.06487748,64.21107558,0,Exp,26,191.2,1.3,173,-0.583789339,0.869472822
CAFI_P051,MOU_239,Secondaire,Pas d'indice,4.911436306,17.08002853,47.0323333,0,Sec,24,183.7,2.8,556,0.011014959,-1.687869965
CAFI_P052,MOU_293,Secondaire,Active,3.22178429,2.711582904,44.0298232,0,Exp,25.3,162.4,3.7,291,0.221918794,1.137765611
CAFI_P053,MVO_041,Secondaire,Pas d'indice,0.41991253,0.409800822,73.17177064,0,Exp,23.2,178,15.7,664,0.247116504,-1.05396485
CAFI_P055,NDZ_036,Secondaire,Active,4.319903375,6.387028209,72.38897518,0,Exp,23.3,184,8.4,555,-0.092556036,-1.35964361
CAFI_P056,NDZ_366,Secondaire,Active,0.986233606,0.89671592,21.43283135,0,Exp,26,266.7,3.5,59,-10.10242427,-2.097610986
CAFI_P057,NGO_304,Secondaire,Pas d'indice,3.374189438,2.586098379,76.1286249,0,Sec,24,170.9,7.2,415,0.221918794,1.137765611
CAFI_P058,NIN_174,Exploitee,Active,10.76374839,24.91171308,11.89358399,0,Exp,25.6,204.8,2.4,170,-0.583789339,0.869472822
CAFI_P060,NZN_365,Secondaire,Active,1.077958793,0.913261077,8.279272599,0,Exp,25.9,276.6,3.9,45,-10.10242427,-2.097610986
CAFI_P061,NZV_447,Primaire,Active,18.41681671,17.49534635,13.04624678,0,Prm,23.7,163.2,11.2,537,-0.092556036,-1.35964361
CAFI_P062,OBI_285,Secondaire,Pas d'indice,0.540826945,8.372808493,0.334294028,0,Exp,25.8,165.1,2.7,237,0.221918794,1.137765611
CAFI_P063,OBI_286,Secondaire,Ancienne piste/pas d'activite,1.703233936,8.075248552,0.707440234,0,Exp,25.8,165.1,2.7,239,0.221918794,1.137765611
CAFI_P064,OBI_288,Secondaire exploite,Pas d'indice,17.37751035,3.735453054,28.51411444,0,Exp,25.4,161.4,3.2,321,0.221918794,1.137765611
CAFI_P067,OPA_252,Secondaire,Active,5.062856605,7.867427392,118.4719732,0,Exp,24.5,176.2,6.2,427,0.221918794,1.137765611
CAFI_P069,OVA_180,Primaire,Active,9.498797393,29.92572961,22.4897076,0,Prm,22.7,209.1,2.7,700,0.108533665,1.365842797
CAFI_P070,OVA_181,Primaire,Active,8.246209184,26.49943747,24.54490376,0,Prm,22.7,209.1,2.7,767,0.108533665,1.365842797
CAFI_P071,OVA_182,Primaire,Ancienne piste/pas d'activite,8.786590703,30.90900239,19.17196752,0,Prm,22.8,209.6,2.6,757,0.108533665,1.365842797
CAFI_P072,OYA_306,Primaire,Pas d'indice,2.065183704,11.78128702,95.35165209,0,Prm,24.7,170.1,6.2,389,0.221918794,1.137765611
CAFI_P073,POP_134,Primaire,Active,12.98195823,36.4717166,0,1,Prm,22.2,195.4,3.1,792,0.011014959,-1.687869965
CAFI_P074,POP_135,Primaire,Active,15.35111348,40.18735996,0,1,Prm,22,197,3.1,752,0.011014959,-1.687869965
CAFI_P075,POP_136,Primaire,Active,22.61415923,36.4937295,0,1,Prm,22.5,193.5,2.8,780,0.011014959,-1.687869965
