"","DispoCode","Elev","Latitude","Succ2","Temp","Prec","SoilPCA","Elephant","VillDist","PopDensity","NightLights"
"32","CAFI_P030",0.69775407612816,-1.37475014430922,"Prm",-0.460258257167415,0.258347112036789,2.54273910783674,0,-0.496642104090103,-0.272504633325867,0.0236802701569787
"33","CAFI_P032",-0.922153638903892,-1.23665899387494,"Sec",0.890499671476025,0.357304116846521,2.54273910783674,1,0.45017911594185,-0.347238846249485,0.350876591003362
"34","CAFI_P033",0.491339242633771,-0.72875720097609,"Exp",-0.370207728591188,-0.120419354648739,-0.136575481585022,1,-0.692735309907715,-0.144093157517204,-0.247575758614558
"35","CAFI_P034",-0.0964943049263366,-0.421923489188427,"Prm",0.260145971442417,-0.60837975767604,-0.245505496683791,1,-0.446008239239802,-0.237871297277902,-0.231054814799513
"36","CAFI_P035",-0.621505946640326,-1.67148593596538,"Sec",0.440247028594878,-0.233025601501193,2.54273910783674,1,-0.267903083804731,-0.187698452738929,0.093727583454832
"37","CAFI_P036",-0.652916899563385,-1.19842082608235,"Exp",0.890499671476025,0.596165852594151,-2.26951024654322,1,-0.320334363766545,-0.325295089743502,-0.112849839489524
"38","CAFI_P039",1.15994381199603,1.5282458969908,"Sec",-0.820460371472335,-0.465062716227463,-0.136575481585022,1,-0.552767578659549,0.808700191648937,-0.275667628973094
"39","CAFI_P040",-1.46511439657392,0.508645127963538,"Exp",1.34075231435717,3.02231862568794,2.54273910783674,0,-0.653873067135735,-0.180096406396908,0.18940322081619
"40","CAFI_P041",-0.868306291035791,0.686100664863699,"Exp",0.350196500018648,3.27141729296761,2.54273910783674,1,-0.638195953738961,-0.319853672422468,-0.014408453858521
"41","CAFI_P042",0.0829968546340016,0.639218007795007,"Sec",-0.280157200014957,2.19312717159259,-0.245505496683791,0,-0.0397221002496031,-0.330102272390509,0.158181667151552
"42","CAFI_P043",1.36635864549042,1.33733661269615,"Exp",-1.36076354292971,-0.222788669969152,-0.136575481585022,0,-0.694013157165557,0.197036474089295,-0.261577108172126
"43","CAFI_P044",-1.14651758835431,-0.979576752938621,"Prm",1.61090390008586,0.459673432166934,0.161027092515639,1,-0.737704801543582,-0.374756142614836,-0.183997109680515
